Source,Target,Type,Id,Label,timeset,Weight
1,88160,Directed,1,,,1
1,118052,Directed,2,,,1
1,161555,Directed,3,,,1
1,244916,Directed,4,,,1
1,346495,Directed,5,,,1
1,444232,Directed,6,,,1
1,447165,Directed,7,,,1
1,500600,Directed,8,,,1
2,27133,Directed,9,,,1
2,62291,Directed,10,,,1
2,170507,Directed,11,,,1
2,299250,Directed,12,,,1
2,326776,Directed,13,,,1
2,331042,Directed,14,,,1
2,411179,Directed,15,,,1
2,451149,Directed,16,,,1
2,454888,Directed,17,,,1
4,16050,Directed,18,,,1
4,286286,Directed,19,,,1
4,310803,Directed,20,,,1
4,320519,Directed,21,,,1
4,408108,Directed,22,,,1
4,448284,Directed,23,,,1
5,173362,Directed,24,,,1
5,305321,Directed,25,,,1
5,407216,Directed,26,,,1
5,489756,Directed,27,,,1
6,162248,Directed,28,,,1
6,298989,Directed,29,,,1
6,398542,Directed,30,,,1
6,495077,Directed,31,,,1
7,30028,Directed,32,,,1
7,47672,Directed,33,,,1
7,355935,Directed,34,,,1
8,10758,Directed,35,,,1
8,55461,Directed,36,,,1
8,60605,Directed,37,,,1
8,148586,Directed,38,,,1
8,184847,Directed,39,,,1
8,242156,Directed,40,,,1
8,445607,Directed,41,,,1
8,453513,Directed,42,,,1
10,80558,Directed,43,,,1
10,192929,Directed,44,,,1
10,266485,Directed,45,,,1
10,500235,Directed,46,,,1
10,504757,Directed,47,,,1
11,57761,Directed,48,,,1
11,107436,Directed,49,,,1
11,400957,Directed,50,,,1
11,512424,Directed,51,,,1
12,386032,Directed,52,,,1
15,67084,Directed,53,,,1
15,85444,Directed,54,,,1
15,252980,Directed,55,,,1
15,422732,Directed,56,,,1
15,425706,Directed,57,,,1
15,428290,Directed,58,,,1
16,128935,Directed,59,,,1
16,148997,Directed,60,,,1
16,422237,Directed,61,,,1
17,18919,Directed,62,,,1
17,309780,Directed,63,,,1
18,41174,Directed,64,,,1
18,45026,Directed,65,,,1
18,168895,Directed,66,,,1
19,203677,Directed,67,,,1
20,23251,Directed,68,,,1
20,25337,Directed,69,,,1
20,61306,Directed,70,,,1
20,186932,Directed,71,,,1
20,218984,Directed,72,,,1
20,412652,Directed,73,,,1
20,450610,Directed,74,,,1
20,476125,Directed,75,,,1
