Id,Label,timeset
1,1,
88160,88160,
118052,118052,
161555,161555,
244916,244916,
346495,346495,
444232,444232,
447165,447165,
500600,500600,
2,2,
27133,27133,
62291,62291,
170507,170507,
299250,299250,
326776,326776,
331042,331042,
411179,411179,
451149,451149,
454888,454888,
4,4,
16050,16050,
286286,286286,
310803,310803,
320519,320519,
408108,408108,
448284,448284,
5,5,
173362,173362,
305321,305321,
407216,407216,
489756,489756,
6,6,
162248,162248,
298989,298989,
398542,398542,
495077,495077,
7,7,
30028,30028,
47672,47672,
355935,355935,
8,8,
10758,10758,
55461,55461,
60605,60605,
148586,148586,
184847,184847,
242156,242156,
445607,445607,
453513,453513,
10,10,
80558,80558,
192929,192929,
266485,266485,
500235,500235,
504757,504757,
11,11,
57761,57761,
107436,107436,
400957,400957,
512424,512424,
12,12,
386032,386032,
15,15,
67084,67084,
85444,85444,
252980,252980,
422732,422732,
425706,425706,
428290,428290,
16,16,
128935,128935,
148997,148997,
422237,422237,
17,17,
18919,18919,
309780,309780,
18,18,
41174,41174,
45026,45026,
168895,168895,
19,19,
203677,203677,
20,20,
23251,23251,
25337,25337,
61306,61306,
186932,186932,
218984,218984,
412652,412652,
450610,450610,
476125,476125,
